date,value
"2015,0,2",69.2307692307692
"2015,0,5",68.2926829268293
"2015,0,6",58.3333333333333
"2015,0,7",51.5151515151515
"2015,0,8",57.5757575757576
"2015,0,9",57.5757575757576
"2015,0,12",58.0645161290323
"2015,0,13",60
"2015,0,14",66.6666666666667
"2015,0,15",55.5555555555556
"2015,0,16",53.8461538461538
"2015,0,20",53.8461538461538
"2015,0,21",52.8301886792453
"2015,0,22",52.7272727272727
"2015,0,23",52.7272727272727
"2015,0,26",54.7169811320755
"2015,0,27",55.3571428571429
"2015,0,28",56.140350877193
"2015,0,29",59.0163934426229
"2015,0,30",59.0163934426229
"2015,1,2",63.768115942029
"2015,1,3",65.6716417910448
"2015,1,4",65.6716417910448
"2015,1,5",65.6716417910448
"2015,1,6",65.6716417910448
"2015,1,9",65.1515151515152
"2015,1,10",66.6666666666667
"2015,1,11",65.0793650793651
"2015,1,12",65.1515151515152
"2015,1,13",65.1515151515152
"2015,1,17",64.1791044776119
"2015,1,18",64.0625
"2015,1,19",74.5098039215686
"2015,1,20",79.0697674418605
"2015,1,23",72.3404255319149
"2015,1,24",71.1111111111111
"2015,1,25",72.093023255814
"2015,1,26",70.4545454545455
"2015,1,27",70
"2015,2,2",77.0833333333333
"2015,2,3",78
"2015,2,4",75.9259259259259
"2015,2,5",75.9259259259259
"2015,2,6",72.9166666666667
"2015,2,9",73.469387755102
"2015,2,10",74
"2015,2,11",75
"2015,2,12",61.7647058823529
"2015,2,13",62.8571428571429
"2015,2,16",62.8571428571429
"2015,2,17",65.2777777777778
"2015,2,18",64.8648648648649
"2015,2,19",65.8227848101266
"2015,2,20",65.7894736842105
"2015,2,23",65.7894736842105
"2015,2,24",63.1578947368421
"2015,2,25",62.3376623376623
"2015,2,26",64.0449438202247
"2015,2,27",66.3265306122449
"2015,2,30",66.3551401869159
"2015,2,31",67.2897196261682
"2015,3,1",66.9724770642202
"2015,3,2",64
"2015,3,6",63.3663366336634
"2015,3,7",61.7021276595745
"2015,3,8",61.7021276595745
"2015,3,9",60.3960396039604
"2015,3,10",59.6153846153846
"2015,3,13",58.7155963302752
"2015,3,14",58.5365853658537
"2015,3,15",62.5
"2015,3,16",62.2950819672131
"2015,3,17",62.2950819672131
"2015,3,20",60.8333333333333
"2015,3,21",61.5384615384615
"2015,3,22",60.8695652173913
"2015,3,23",60.3448275862069
"2015,3,24",60.6837606837607
"2015,3,27",60.8333333333333
"2015,3,28",63.4920634920635
"2015,3,29",62.6086956521739
"2015,3,30",59.2592592592593
"2015,4,1",58.5858585858586
"2015,4,4",59
"2015,4,5",60.7843137254902
