Ticker,date,close,volume,sentiment,headline,News_Body,Time,seq
,6/12/2014,,,,EU Court Upholds EUR1.06B Fine Against Intel for Anti-Competitive Behavior,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  June 12, 2014 03:53 ET (07:53 GMT)</p>
",7:53:43 AM,1802
,6/12/2014,,,,"EU Court: Rebates Granted to PC Makers by Intel """"Capable of Restricting Competition""""","<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  June 12, 2014 03:54 ET (07:54 GMT)</p>
",7:54:06 AM,1807
,6/12/2014,,,,EU Court: European Commission Made Case to Necessary Legal Standard,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  June 12, 2014 03:54 ET (07:54 GMT)</p>
",7:54:37 AM,1809
,6/12/2014,,,,EU Court: Intel's Arguments Didn't Show Fine Was Disproportionate,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  June 12, 2014 03:55 ET (07:55 GMT)</p>
",7:55:03 AM,1813
,6/12/2014,,,,Intel Had Appealed Commission's 2009 Decision,"<pre>
 </pre>
<p>
  (MORE TO FOLLOW) Dow Jones Newswires</p>
<p>
  June 12, 2014 03:55 ET (07:55 GMT)</p>
",7:55:20 AM,1818
,6/12/2014,,,,EU Court Upholds Record $1.43 Billion Fine Against Intel,"<pre>
By Tom Fairless </pre>
<p>
     BRUSSELS--The European Union's top court on Thursday upheld a record EUR1.06 billion ($1.43 billion) fine against Intel Corp. for abusing its dominant position in the microprocessor market. </p>
<p>
     The Luxembourg-based General Court of the EU threw out ""in its entirety"" an appeal by the U.S.-based chip maker, which had argued that a 2009 decision by EU competition authorities to issue the biggest ever antitrust fine against a single company was based on mistakes and ignored evidence. </p>
<p>
     An investigation by the European Commission, the EU's central antitrust authority, had concluded that Intel sought to cut rival Advanced Micro Devices Inc. out of the market by offering rebates to computer makers for using its chips. </p>
<p>
     In its ruling, the court said rebates granted by Intel to Dell, Hewlett-Packard Co., NEC Corp of Japan and Lenovo were ""capable of restricting competition and foreclosing competitors from the market."" </p>
<p>
     The Commission ""showed to the requisite legal standard the existence of the exclusivity rebates and the naked restrictions at issue in its decision,"" and demonstrated that Intel attempted to conceal the anti-competitive nature of its practices, the court said. </p>
<p>
     It also rejected Intel's argument that the scale of the fine was disproportionate. </p>
<p>
     ""The fine is equivalent to 4.15% of Intel's annual turnover, which is well below the 10% ceiling provided for,"" the court said. </p>
<p>
     Write to Tom Fairless at tom.fairless@wsj.com </p>
<pre>
 </pre>
<p>
  Corrections &amp; Amplifications</p>
<p>
  This article was corrected 11:59 GMT to fix the name of the court in the second paragraph. It should be the General Court of the EU. </p>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 04:44 ET (08:44 GMT)</p>
",8:44:14 AM,2148
,6/12/2014,,,,Intel Raises Revenue Outlook,"<pre>
By Josh Beckerman </pre>
<p>
     Intel Corp. increased its revenue guidance for the year, citing stronger than expected demand for business PCs. </p>
<p>
     Intel shares rose 3% in after-hours trading. </p>
<p>
     For the second quarter, the company expects revenue of $13.7 billion, plus or minus $300 million, compared with previous guidance of $13 billion, plus or minus $500 million. </p>
<p>
     Intel now projects ""some revenue growth"" for the full year. The chip maker previously projected approximately flat revenue. </p>
<p>
     Write to Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 16:15 ET (20:15 GMT)</p>
",8:15:15 PM,9366
,6/12/2014,,,,"Intel Raises Revenue Outlook, Cites Business PC Demand -- Update","<pre>
By Josh Beckerman </pre>
<p>
     Intel Corp. increased its revenue guidance for the year, citing stronger-than-expected demand for business PCs. </p>
<p>
     Intel shares rose more than 3% in after-hours trading. </p>
<p>
     For the second quarter, the company expects revenue of $13.7 billion, plus or minus $300 million, compared with previous guidance of $13 billion, plus or minus $500 million. </p>
<p>
     Intel now projects ""some revenue growth"" for the full year. The chip maker previously projected approximately flat revenue. </p>
<p>
     For the second quarter, Intel forecasts the midpoint of its gross margin range will rise by 1 point to 64%, while full-year gross margin is expected to be in the upper half of prior guidance of 61%, plus or minus a few percentage points, reflecting expected improvements in unit cost and volume. </p>
<p>
     Analysts polled by Thomson Reuters project second-quarter earnings of 47 cents a share on revenue of $13 billion for Intel. For the full year, analysts project earnings of $1.89 a share on sales of $53.06 billion. Last year, Intel earned $1.89 a share on sales of $52.71 billion. </p>
<p>
     Write to Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 16:33 ET (20:33 GMT)</p>
",8:33:21 PM,9632
,6/12/2014,,,,"Intel Raises Revenue Outlook, Cites Business PC Demand -- 2nd Update","<pre>
By Josh Beckerman </pre>
<p>
     Intel Corp. increased its revenue guidance for the year, citing stronger-than-expected demand for business PCs. </p>
<p>
     Intel shares, up nearly 8% in 2014, rose more than 4% in after-hours trading. </p>
<p>
     For the second quarter, the company expects revenue between $13.4 billion and $14 billion, compared with its previous guidance of $12.5 billion to $13.5 billion. </p>
<p>
     Intel now projects ""some revenue growth"" for the full year. The chip maker previously projected approximately flat revenue. </p>
<p>
     ""The change in outlook is driven mostly by strong demand for business PCs,"" Intel said in a news release. </p>
<p>
     Companies that make computers or computer parts have benefited from businesses needing to update aging PCs because of the impending end of Microsoft Corp.'s support for the Windows XP operating system. </p>
<p>
     Microsoft has stopped providing updates to its Windows XP operating system. Despite XP's well-publicized deadline, more than 10% of computers used in government and corporations world-wide still use the 12-year-old operating system, according to cybersecurity firm Qualys Inc. </p>
<p>
     Including consumer PCs, the share of desktops running XP is nearly 30%, according to researcher NetApplications. </p>
<p>
     For the second quarter, Intel forecasts the midpoint of its gross margin range will rise by 1 percentage point to 64%, while full-year gross margin is expected to be in the upper half of prior guidance of 61%, plus or minus a few percentage points, reflecting expected improvements in unit cost and volume. </p>
<p>
     Analysts polled by Thomson Reuters project second-quarter earnings of 47 cents a share on revenue of $13 billion for Intel. For the full year, analysts project earnings of $1.89 a share on sales of $53.06 billion. Last year, Intel earned $1.89 a share on sales of $52.71 billion. </p>
<p>
     Write to Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 16:47 ET (20:47 GMT)</p>
",8:47:31 PM,9817
,6/12/2014,,,,"Intel Raises Revenue Outlook, Cites Business PC Demand -- 3rd Update","<pre>
By Josh Beckerman </pre>
<p>
     Intel Corp. increased its revenue guidance for the year as the chip maker cited stronger-than-expected demand for business PCs. </p>
<p>
     Intel shares, up nearly 8% in 2014, rose more than 4% in after-hours trading. </p>
<p>
     For the second quarter, the company expects revenue between $13.4 billion and $14 billion, compared with its previous guidance of $12.5 billion to $13.5 billion. </p>
<p>
     Intel now projects ""some revenue growth"" for the full year. The chip maker previously projected approximately flat revenue. </p>
<p>
     ""The change in outlook is driven mostly by strong demand for business PCs,"" Intel said in a news release. </p>
<p>
     Companies that make computers or computer parts have benefited from businesses needing to update aging PCs because of the impending end of Microsoft Corp.'s support for the Windows XP operating system. </p>
<p>
     Microsoft has stopped providing updates to its Windows XP operating system. Despite XP's well-publicized deadline, more than 10% of computers used in government and corporations world-wide still use the 12-year-old operating system, according to cybersecurity firm Qualys Inc. </p>
<p>
     Including consumer PCs, the share of desktops running XP is nearly 30%, according to researcher NetApplications. </p>
<p>
     For the second quarter, Intel forecasts the midpoint of its gross margin range will rise by 1 percentage point to 64%, while full-year gross margin is expected to be in the upper half of prior guidance of 61%, plus or minus a few percentage points, reflecting expected improvements in unit cost and volume. </p>
<p>
     Analysts polled by Thomson Reuters project second-quarter earnings of 47 cents a share on revenue of $13 billion for Intel. In the year-ago second-quarter, the company earned 39 cents a share on revenue of $12.8 billion. </p>
<p>
     For the full year, analysts project earnings of $1.89 a share on sales of $53.06 billion. Last year, Intel earned $1.89 a share on sales of $52.71 billion. </p>
<p>
     Intel expects a tax rate of 28% for the quarter, compared with a prior projection of 27%. </p>
<p>
     The company said it would provide more details on all business segments when it reports results on July 15. </p>
<p>
     Write to Josh Beckerman at josh.beckerman@wsj.com </p>
<pre>
 </pre>
<p>
  Access Investor Kit for Intel Corp.</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=A591&amp;isin=US4581401001</p>
<p>
  Access Investor Kit for Microsoft Corporation</p>
<p>
  Visit http://www.companyspotlight.com/partner?cp_code=A591&amp;isin=US5949181045</p>
<p>
  (END) Dow Jones Newswires</p>
<p>
  June 12, 2014 16:58 ET (20:58 GMT)</p>
",8:58:23 PM,9905
